Date,Title,Artist
2001-04-02,She Couldn't Change Me,Montgomery Gentry
2001-04-02,La Bomba,Azul Azul
2001-04-02,Guilty Until Proven Innocent,Jay-Z Featuring R. Kelly
2001-04-09,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk"
2001-04-09,Peaches & Cream,112
2001-04-09,If You Can Do Anything Else,George Strait
2001-04-09,It's Been Awhile,Staind
2001-04-09,Puppy Love,Lil Bow Wow Featuring Jagged Edge
2001-04-16,Until The End Of Time,2Pac
2001-04-16,I Could Not Ask For More,Sara Evans
2001-04-23,Two People Fell In Love,Brad Paisley
2001-04-23,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani
2001-04-23,My Way,Limp Bizkit
2001-04-23,Rose Bouquet,Phil Vassar
2001-04-23,When Somebody Loves You,Alan Jackson
2001-04-23,That's How I Beat Shaq,Aaron Carter
2001-04-23,"Like, Wow!",Leslie Carter
2001-04-30,Mad Season,matchbox twenty
2001-04-30,I'm Already There,Lonestar
2001-04-30,Angel,Lionel Richie
2001-04-30,What It Feels Like For A Girl,Madonna
2001-04-30,Hit 'Em Up Style (Oops!),Blu Cantrell
2001-04-30,Can't Believe,Faith Evans Featuring Carl Thomas
2001-04-30,I Cry,Ja Rule Featuring Lil' Mo
2001-05-07,This Is Me,Dream
2001-05-07,"Baby, Come Over (This Is Our Night)",Samantha Mumba
2001-05-07,Dream On,Depeche Mode
2001-05-07,Everybody Doesn't,Amanda
2001-05-07,There She Goes,Babyface
2001-05-14,My Baby,Lil' Romeo
2001-05-14,Irresistible,Jessica Simpson
2001-05-14,The Space Between,Dave Matthews Band
2001-05-14,Let's Get Dirty (I Can't Get In Da Club),Redman Featuring DJ Kool
2001-05-21,There You'll Be,Faith Hill
2001-05-21,More Than That,Backstreet Boys
2001-05-21,Wait A Minute,Ray J Featuring Lil' Kim
2001-05-21,Let's Get It,"Three The... G. Dep, P. Diddy & Black Rob"
2001-05-21,Imitation Of Life,R.E.M.
2001-05-21,Austin,Blake Shelton
2001-05-28,Pop,*NSYNC
2001-05-28,Music,Erick Sermon Featuring Marvin Gaye
2001-05-28,Where The Party At,Jagged Edge With Nelly
2001-05-28,When It's Over,Sugar Ray
2001-05-28,We Need A Resolution,Aaliyah Featuring Timbaland
2001-05-28,I Do!!,Toya
2001-05-28,Playas Gon' Play,3LW
2001-05-28,What I Really Meant To Say,Cyndi Thomson
2001-06-04,All Or Nothing,O-Town
2001-06-04,Bootylicious,Destiny's Child
2001-06-04,Fill Me In,Craig David
2001-06-04,Here's To The Night,Eve 6
2001-06-04,When I Think About Angels,Jamie O'Neal
2001-06-04,I Wanna Be Bad,Willa Ford
2001-06-11,U Remind Me,Usher
2001-06-11,Downtime,Jo Dee Messina
2001-06-11,Where The Blacktop Ends,Keith Urban
2001-06-11,I'm Just Talkin' About Tonight,Toby Keith
2001-06-11,She's All I Got,Jimmy Cozier
2001-06-11,Loaded,Ricky Martin
2001-06-11,Fallin',Alicia Keys
2001-06-18,Flavor Of The Weak,American Hi-Fi
2001-06-18,Someone To Call My Lover,Janet
2001-06-18,Loverboy,Mariah Carey Featuring Cameo
2001-06-18,Schism,Tool
2001-06-18,Purple Hills,D12
2001-06-25,While You Loved Me,Rascal Flatts
2001-06-25,Just In Case,Jaheim
2001-06-25,What It Is,Violator Featuring Busta Rhymes
